name;type;price;fuel-type;year_of_make;kim;power;place
Mercedes;V trieda;38500;Diesel;2018;219256;120;W447
Volkswagen;T6 Caravelle;38400;Diesel;2017;160000;160;4 (7 miest)
BMW;rad 5;38000;Benzín;2017;120060;250;5
Renault;Master Furgon;37999;Diesel;2022;20;107;5 (3 miesta)
Škoda;Octavia Combi;37990;Diesel;2022;23000;147;NX
Peugeot;Boxer;37990;Diesel;2023;2;121;Biela
BMW;X6;37900;Diesel;2017;102073;230;F16
Mercedes;GLE trieda;41999;Diesel;2018;170885;190;5 (5 miest)
Tesla;Model X;40990;Elektro;2017;4;144;Čierna
Volkswagen;Golf;40990;Benzín;2022;55600;235;5 (5 miest)
Mercedes;V trieda;44999;Diesel;2017;114633;140;5 (6 miest)
